,markets,symbols
0,BTCUSDT,BINANCE:BTCUSDT
1,ETHUSDT,BINANCE:ETHUSDT
2,BNBUSDT,BINANCE:BNBUSDT
3,BCCUSDT,BINANCE:BCCUSDT
4,NEOUSDT,BINANCE:NEOUSDT
5,LTCUSDT,BINANCE:LTCUSDT
6,QTUMUSDT,BINANCE:QTUMUSDT
7,ADAUSDT,BINANCE:ADAUSDT
8,XRPUSDT,BINANCE:XRPUSDT
9,EOSUSDT,BINANCE:EOSUSDT
10,TUSDUSDT,BINANCE:TUSDUSDT
11,IOTAUSDT,BINANCE:IOTAUSDT
12,XLMUSDT,BINANCE:XLMUSDT
13,ONTUSDT,BINANCE:ONTUSDT
14,TRXUSDT,BINANCE:TRXUSDT
15,ETCUSDT,BINANCE:ETCUSDT
16,ICXUSDT,BINANCE:ICXUSDT
17,VENUSDT,BINANCE:VENUSDT
18,NULSUSDT,BINANCE:NULSUSDT
19,VETUSDT,BINANCE:VETUSDT
20,PAXUSDT,BINANCE:PAXUSDT
21,BCHABCUSDT,BINANCE:BCHABCUSDT
22,BCHSVUSDT,BINANCE:BCHSVUSDT
23,USDCUSDT,BINANCE:USDCUSDT
24,LINKUSDT,BINANCE:LINKUSDT
25,WAVESUSDT,BINANCE:WAVESUSDT
26,BTTUSDT,BINANCE:BTTUSDT
27,USDSUSDT,BINANCE:USDSUSDT
28,ONGUSDT,BINANCE:ONGUSDT
29,HOTUSDT,BINANCE:HOTUSDT
30,ZILUSDT,BINANCE:ZILUSDT
31,ZRXUSDT,BINANCE:ZRXUSDT
32,FETUSDT,BINANCE:FETUSDT
33,BATUSDT,BINANCE:BATUSDT
34,XMRUSDT,BINANCE:XMRUSDT
35,ZECUSDT,BINANCE:ZECUSDT
36,IOSTUSDT,BINANCE:IOSTUSDT
37,CELRUSDT,BINANCE:CELRUSDT
38,DASHUSDT,BINANCE:DASHUSDT
39,NANOUSDT,BINANCE:NANOUSDT
40,OMGUSDT,BINANCE:OMGUSDT
41,THETAUSDT,BINANCE:THETAUSDT
42,ENJUSDT,BINANCE:ENJUSDT
43,MITHUSDT,BINANCE:MITHUSDT
44,MATICUSDT,BINANCE:MATICUSDT
45,ATOMUSDT,BINANCE:ATOMUSDT
46,TFUELUSDT,BINANCE:TFUELUSDT
47,ONEUSDT,BINANCE:ONEUSDT
48,FTMUSDT,BINANCE:FTMUSDT
49,ALGOUSDT,BINANCE:ALGOUSDT
50,USDSBUSDT,BINANCE:USDSBUSDT
51,GTOUSDT,BINANCE:GTOUSDT
52,ERDUSDT,BINANCE:ERDUSDT
53,DOGEUSDT,BINANCE:DOGEUSDT
54,DUSKUSDT,BINANCE:DUSKUSDT
55,ANKRUSDT,BINANCE:ANKRUSDT
56,WINUSDT,BINANCE:WINUSDT
57,COSUSDT,BINANCE:COSUSDT
58,NPXSUSDT,BINANCE:NPXSUSDT
59,COCOSUSDT,BINANCE:COCOSUSDT
60,MTLUSDT,BINANCE:MTLUSDT
61,TOMOUSDT,BINANCE:TOMOUSDT
62,PERLUSDT,BINANCE:PERLUSDT
63,DENTUSDT,BINANCE:DENTUSDT
64,MFTUSDT,BINANCE:MFTUSDT
65,KEYUSDT,BINANCE:KEYUSDT
66,STORMUSDT,BINANCE:STORMUSDT
67,DOCKUSDT,BINANCE:DOCKUSDT
68,WANUSDT,BINANCE:WANUSDT
69,FUNUSDT,BINANCE:FUNUSDT
70,CVCUSDT,BINANCE:CVCUSDT
71,CHZUSDT,BINANCE:CHZUSDT
72,BANDUSDT,BINANCE:BANDUSDT
73,BUSDUSDT,BINANCE:BUSDUSDT
74,BEAMUSDT,BINANCE:BEAMUSDT
75,XTZUSDT,BINANCE:XTZUSDT
76,RENUSDT,BINANCE:RENUSDT
77,RVNUSDT,BINANCE:RVNUSDT
78,HCUSDT,BINANCE:HCUSDT
79,HBARUSDT,BINANCE:HBARUSDT
80,NKNUSDT,BINANCE:NKNUSDT
81,STXUSDT,BINANCE:STXUSDT
82,KAVAUSDT,BINANCE:KAVAUSDT
83,ARPAUSDT,BINANCE:ARPAUSDT
84,IOTXUSDT,BINANCE:IOTXUSDT
85,RLCUSDT,BINANCE:RLCUSDT
86,MCOUSDT,BINANCE:MCOUSDT
87,CTXCUSDT,BINANCE:CTXCUSDT
88,BCHUSDT,BINANCE:BCHUSDT
89,TROYUSDT,BINANCE:TROYUSDT
90,VITEUSDT,BINANCE:VITEUSDT
91,FTTUSDT,BINANCE:FTTUSDT
92,EURUSDT,BINANCE:EURUSDT
93,OGNUSDT,BINANCE:OGNUSDT
94,DREPUSDT,BINANCE:DREPUSDT
95,BULLUSDT,BINANCE:BULLUSDT
96,BEARUSDT,BINANCE:BEARUSDT
